Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-03-28,Full Metal Jacket,1987,https://boxd.it/42HYgp,5,,,2023-03-28
2023-03-30,The Shawshank Redemption,1994,https://boxd.it/42XO1B,5,,,2023-03-29
2023-03-30,Django Unchained,2012,https://boxd.it/43bzRb,5,,,2023-03-30
2023-04-03,Akira,1988,https://boxd.it/441CJD,4.5,,,2023-04-02
2023-04-15,Once Upon a Time... in Hollywood,2019,https://boxd.it/47GisB,4.5,,,2023-04-15
2023-04-22,Jackie Brown,1997,https://boxd.it/49uNfx,4,,,2023-04-22
2023-04-30,Cowboy Bebop: The Movie,2001,https://boxd.it/4blMVx,4,,,2023-04-29
2023-05-21,Midsommar,2019,https://boxd.it/4gYru9,4,,,2023-05-21
2023-05-22,Ping Pong the Animation,2014,https://boxd.it/4hinmZ,5,,,2023-05-22
2023-05-27,La La Land,2016,https://boxd.it/4ipgS3,4.5,,,2023-05-27
2023-06-17,Drive,2011,https://boxd.it/4o39jZ,3.5,,,2023-06-17
2023-06-18,Scott Pilgrim vs. the World,2010,https://boxd.it/4onHfn,5,,,2023-06-18
2023-06-20,Superbad,2007,https://boxd.it/4oNc67,2.5,,,2023-06-19
2023-06-22,Death Proof,2007,https://boxd.it/4pxJFr,3,,,2023-06-22
2023-07-14,Dead Poets Society,1989,https://boxd.it/4w0SFd,5,,,2023-07-14
2023-07-14,(500) Days of Summer,2009,https://boxd.it/4w1KGz,4,,,2023-07-14
2023-07-15,Om Dar-B-Dar,1988,https://boxd.it/4w72mR,2,,,2023-07-15
2023-07-15,Chungking Express,1994,https://boxd.it/4wjc2h,4.5,,,2023-07-15
2023-07-17,Devilman Crybaby,2018,https://boxd.it/4wLoIv,4.5,,,2023-07-17
2023-07-19,Detachment,2011,https://boxd.it/4xC6rx,3.5,,,2023-07-19
2023-07-21,Mad Max: Fury Road,2015,https://boxd.it/4yi3r9,3.5,,,2023-07-21
2023-07-24,Fallen Angels,1995,https://boxd.it/4zeJ6X,4,,,2023-07-23
2023-07-24,The Seventh Seal,1957,https://boxd.it/4zIbYr,2.5,,,2023-07-24
2023-07-30,The Godfather,1972,https://boxd.it/4C45ZF,4,,,2023-07-30
2023-07-31,A Clockwork Orange,1971,https://boxd.it/4CwCJV,4.5,,,2023-07-31
2023-08-01,Perfect Blue,1997,https://boxd.it/4CQifh,5,,,2023-08-01
2023-08-04,Taipei Story,1985,https://boxd.it/4DPaZt,5,,,2023-08-04
2023-08-05,Drive,2011,https://boxd.it/4DRl0Z,3.5,Yes,,2023-08-04
2023-08-06,Zodiac,2007,https://boxd.it/4ExvB1,4.5,,,2023-08-06
2023-08-07,Fight Club,1999,https://boxd.it/4EBno7,4,Yes,,2023-08-06
2023-08-08,The Silence of the Lambs,1991,https://boxd.it/4FfNsT,4,,,2023-08-08
2023-08-10,Eraserhead,1977,https://boxd.it/4FQzNx,3.5,,,2023-08-10
2023-08-12,Shutter Island,2010,https://boxd.it/4GtxmR,5,,,2023-08-12
2023-08-13,The Sixth Sense,1999,https://boxd.it/4GzsR3,4.5,,,2023-08-12
2023-08-13,Prisoners,2013,https://boxd.it/4GQjkt,4,,,2023-08-13
2023-08-14,Nightcrawler,2014,https://boxd.it/4HcUYJ,3.5,,,2023-08-14
2023-08-15,Gone Girl,2014,https://boxd.it/4HfRGX,4,,,2023-08-14
2023-08-15,Primal Fear,1996,https://boxd.it/4Hwwkv,3.5,,,2023-08-15
2023-08-17,Oppenheimer,2023,https://boxd.it/4HSEMr,4.5,,,2023-08-16
2023-09-09,Dazed and Confused,1993,https://boxd.it/4OMTbB,4,,,2023-09-08
2023-09-24,Jawan,2023,https://boxd.it/4SYNUv,2.5,,,2023-09-23
2023-09-25,Manorama Six Feet Under,2007,https://boxd.it/4TnQC5,3.5,,,2023-09-24
2023-09-29,Dev.D,2009,https://boxd.it/4UHRoR,4,,,2023-09-29
2023-10-15,Memories of Murder,2003,https://boxd.it/504R5L,5,,,2023-10-15
2023-10-23,Occult,2009,https://boxd.it/52qJtR,3,,,2023-10-22
2023-10-25,All About Lily Chou-Chou,2001,https://boxd.it/531z2P,5,,,2023-10-24
2023-10-30,Millennium Mambo,2001,https://boxd.it/555skt,3,,,2023-10-30
2023-12-15,Good Will Hunting,1997,https://boxd.it/5koHgf,4,,,2023-12-15
2023-12-26,The Blair Witch Project,1999,https://boxd.it/5ozl6l,5,,,2023-12-25
2024-01-16,Spirited Away,2001,https://boxd.it/5BNXAt,5,,,2024-01-16
2024-01-22,Ghost in the Shell,1995,https://boxd.it/5Eiiff,3.5,,,2024-01-21
2024-01-26,Neon Genesis Evangelion,1995,https://boxd.it/5Gk8Kp,4.5,,,2024-01-25
2024-03-20,In the Mood for Love,2000,https://boxd.it/65xJIh,4.5,,,2024-03-19
2024-04-10,Jin-Roh: The Wolf Brigade,1999,https://boxd.it/6fwUhJ,4.5,,,2024-04-10
2024-05-10,The Fall Guy,2024,https://boxd.it/6rqaON,2.5,,,2024-05-09
2024-05-11,The Wonderful Story of Henry Sugar,2023,https://boxd.it/6s0kY1,5,,,2024-05-11
2024-05-11,Poison,2023,https://boxd.it/6s0Z1f,4.5,,,2024-05-11
2024-05-11,The Swan,2023,https://boxd.it/6s1vOt,5,,,2024-05-11
2024-05-11,The Rat Catcher,2023,https://boxd.it/6s1Yn7,4,,,2024-05-11
2024-05-19,The Darjeeling Limited,2007,https://boxd.it/6varD7,3.5,,,2024-05-19
2024-05-21,Cure,1997,https://boxd.it/6w64mX,5,,,2024-05-21
2024-05-28,Stalker,1979,https://boxd.it/6yEIUB,3,,,2024-05-27
2024-05-28,Pulse,2001,https://boxd.it/6z5bAn,2,,,2024-05-28
2024-05-29,Hereditary,2018,https://boxd.it/6ztBLz,4,,,2024-05-29
2024-05-30,Oldboy,2003,https://boxd.it/6zQ5CB,4,,,2024-05-30
2024-05-31,Terrorizers,1986,https://boxd.it/6AeAmn,4,,,2024-05-31
2024-06-02,The Girl with the Dragon Tattoo,2011,https://boxd.it/6B6Kqd,4,,,2024-06-02
2024-06-03,The Departed,2006,https://boxd.it/6BATtb,4.5,,,2024-06-03
2024-06-12,The House Is Black,1963,https://boxd.it/6EMU3J,5,,,2024-06-11
2024-06-16,Swades,2004,https://boxd.it/6GCf9z,4.5,,,2024-06-16
2024-06-18,La Haine,1995,https://boxd.it/6H7n2N,4.5,,,2024-06-17
2024-06-25,Psycho,1960,https://boxd.it/6Kg7Ff,4.5,,,2024-06-25
2024-06-26,Love Letter,1995,https://boxd.it/6Kib7l,5,,,2024-06-25
2024-06-27,Eyes Wide Shut,1999,https://boxd.it/6KER3f,5,,,2024-06-26
2024-07-14,The Witch,2015,https://boxd.it/6RP4W1,4.5,,,2024-07-13
2024-07-14,Donnie Darko,2001,https://boxd.it/6Sjqlr,3.5,,,2024-07-14
2024-07-16,Get Out,2017,https://boxd.it/6SOXs3,4,,,2024-07-15
2024-07-17,Longlegs,2024,https://boxd.it/6TGroV,3.5,,,2024-07-17
2024-07-19,Lake Mungo,2008,https://boxd.it/6UuV39,4.5,,,2024-07-19
2024-07-21,Possession,1981,https://boxd.it/6V1j6b,4.5,,,2024-07-20
2024-08-27,The Wicker Man,1973,https://boxd.it/7bTB7D,4.5,,,2024-08-26
